customer_id,customer_name,phone,city
1,"Amit Patil",8608637542,Pune
2,"Suresh Shinde",7787846414,Pune
3,"Rahul Deshmukh",9571218620,Delhi
4,"Priya Kulkarni",9563451924,Pune
5,"Sneha Joshi",7670094950,Bangalore
6,"Nikhil Pawar",8914837113,Pune
7,"Pooja Jadhav",7669991378,Bangalore
8,"Rohit Chavan",7429389014,Bangalore
9,"Anjali More",7249467210,Bangalore
10,"Kiran Mane",8972458954,Delhi
11,"Swapnil Patwardhan",8433267572,Delhi
12,"Tejas Bhosale",9581769315,Delhi
13,"Vaishnavi Khedkar",7613608295,Pune
14,"Omkar Gawade",9795544706,Bangalore
15,"Rutuja Kale",7088409749,Delhi
16,"Akash Salunkhe",7242285876,Delhi
17,"Shraddha Patankar",7911989541,Pune
18,"Pratik Inamdar",7003344769,Delhi
19,"Neha Wagh",7780932287,Pune
20,"Sachin Gite",7787716372,Mumbai
21,"Madhuri Gaikwad",9652062880,Delhi
22,"Sanjay Thorat",8306710475,Mumbai
23,"Manasi Shirodkar",9627030329,Pune
24,"Abhijeet Khare",9253811733,Bangalore
25,"Varsha Desai",7030349564,Delhi
26,"Amol Gokhale",8855189739,Pune
27,"Bhakti Sawant",7099052376,Bangalore
28,"Chaitanya Kshirsagar",8250819632,Bangalore
29,"Dnyaneshwari Jagtap",9253890010,Mumbai
30,"Eknath Bhadane",9627888186,Pune
31,"Ganesh Mhatre",8717389822,Bangalore
32,"Harshada Chitale",7599121577,Delhi
33,"Ishwar Nikam",7200427519,Delhi
34,"Jayesh Tamboli",8254751707,Mumbai
35,"Kavita Bagul",8573512143,Bangalore
36,"Laxman Morey",7999745294,Pune
37,"Mayur Bende",8958805693,Delhi
38,"Nilesh Kharat",7389151677,Bangalore
39,"Ojas Phadke",9655947709,Bangalore
40,"Pranali Dhamdhere",7857592370,Mumbai
41,"Rajesh Pingle",8642661739,Delhi
42,"Sagar Gavhane",9208620086,Delhi
43,"Tanvi Gupte",9544401215,Pune
44,"Uday Kadam",9004731384,Delhi
45,"Vaibhav Mhatre",7199502978,Pune
46,"Yogesh Jagtap",9609385266,Delhi
47,"Zeenat Shaikh",9921898630,Mumbai
48,"Aditya Ranade",7732395540,Delhi
49,"Bhushan Rane",8934879560,Pune
50,"Chetan Pansare",7279394470,Pune
51,"Dipali Wadkar",7056972561,Mumbai
52,"Esha Apte",9419304461,Delhi
53,"Falguni Bhide",8655351289,Delhi
54,"Girish Nerlekar",8308306184,Mumbai
55,"Hema Bhave",7068574553,Delhi
56,"Indrajeet Raut",7419498548,Delhi
57,"Jagruti Mahajan",7991681409,Pune
58,"Kunal Karandikar",9938758483,Delhi
59,"Lalit Bhadane",8035196507,Delhi
60,"Meghana Sathe",8890440558,Mumbai
61,"Nandini Thatte",9934594491,Mumbai
62,"Om Pote",7524150214,Bangalore
63,"Pallavi Chougule",9619915691,Pune
64,"Rakesh Bhujbal",9126768636,Delhi
65,"Shilpa Patne",7147697582,Delhi
66,"Trupti Barve",7744595490,Bangalore
67,"Umesh Pargaonkar",8679592528,Delhi
68,"Vijay Tare",8111451555,Pune
69,"Yamini Karmarkar",7782698033,Bangalore
70,"Zubair Momin",9845511527,Pune
71,"Ajinkya Chougule",8338788865,Bangalore
72,"Bharati Sutar",8826030589,Bangalore
73,"Chinmay Phatak",9233675141,Mumbai
74,"Deepak Pawaskar",7893102645,Pune
75,"Esha Joshi",9348102761,Delhi
76,"Farhan Pathan",9438254339,Delhi
77,"Gauri Bapat",7793943861,Pune
78,"Hemant Shirole",7134489564,Delhi
79,"Isha Deshpande",8931679275,Delhi
80,"Jitesh Chitale",8697157321,Pune
81,"Kalyani Patankar",9567960845,Bangalore
82,"Lokesh Wankhede",8402481934,Pune
83,"Mangesh Parab",7380072391,Bangalore
84,"Nikita Vaidya",9450038221,Delhi
85,"Onkar Modak",7841739990,Delhi
86,"Prashant Dighe",9236966139,Delhi
87,"Rashmi Korde",7194249720,Mumbai
88,"Siddharth Karve",8397283111,Bangalore
89,"Tejal Karandikar",8669356239,Mumbai
90,"Urvashi Karmarkar",8165435217,Mumbai
91,"Vikram Pujari",9317960046,Pune
92,"Yash Vartak",9520077079,Mumbai
93,"Zaid Shaikh",8532243865,Pune
94,"Aniket Bhujbal",8206604539,Pune
95,"Bhavana Purohit",9607192251,Mumbai
96,"Rohini Kulathe",9330861947,Bangalore
97,"Sameer Kshirsagar",8185407468,Bangalore
98,"Tanmay Barve",7605264936,Bangalore
99,"Ujwala Phadnis",8272485020,Bangalore
100,"Vivek Jadhav",7709816108,Bangalore
